SOLD DATE,ADDRESS,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
May-15-2020,2657 SW Gerald Ave,97201,915000,4,3,SOUTHWEST HILLS,4113,7405,1919,97,222,0,45.5066711,-122.7008287
April-16-2020,2924 NE Regents Dr,97212,922000,4,2.5,PORTLAND NORTHEAST,4150,8276,1923,126,222,0,45.5498952,-122.6356107
March-3-2020,2114 SE Ladd Ave,97214,925000,6,2,LADDS ADDITION,4188,5227,1913,170,221,0,45.5074791,-122.6476932
March-11-2020,7118 SE Reed College Pl,97202,999900,4,4.5,EASTMORELAND,4190,6534,1938,162,239,0,45.4722938,-122.6289638
August-10-2020,2737 SW English Ct,97201,1050000,5,3.5,PORTLAND HEIGHTS,4191,23522,1941,10,251,0,45.5041534,-122.7107199
May-28-2020,1610 NE Siskiyou St,97212,1450000,4,3.5,IRVINGTON,4197,10018,1915,84,345,0,45.5449646,-122.6490824
May-26-2020,3042 NE Alameda Ter,97212,850000,4,3,ALAMEDA,4220,6534,1941,86,201,0,45.5494005,-122.6356152
June-3-2020,2516 SE Harrison St,97214,984440,4,3,COLONIAL HEIGHTS,4226,5227,1923,78,233,0,45.5082642,-122.6399829
July-1-2020,50 SW 68th Ave,97225,872000,3,3.5,WINDEMERE,4230,9583,1983,50,206,0,45.5193396,-122.7476363
August-17-2020,2820 SW Fern St,97201,660000,4,4,PORTLAND HEIGHTS,4231,3920,1985,3,156,0,45.5057924,-122.7065108
May-14-2020,2915 NW Luray Ter,97210,1550000,5,3.5,WESTOVER TERRACES,4233,10454,1932,98,366,0,45.5303867,-122.7112065
August-3-2020,3141 NE US Grant Pl,97212,1425000,4,2.5,GRANT PARK,4233,6969,1928,17,337,0,45.5380324,-122.6335563
July-15-2020,2846 NW Cumberland Rd,97210,1292800,5,3,KING,4249,6534,1937,36,304,0,45.5300013,-122.7097175
May-27-2020,4140 SW Condor Ave,97239,950000,5,2.5,HOMESTEAD,4256,10018,1937,85,223,0,45.4932239,-122.6790992
July-9-2020,2734 NE 32nd Pl,97212,1395000,4,3,ALAMEDA,4268,9583,1933,42,327,0,45.5425977,-122.6314399
April-15-2020,7864 SE 15th Ave,97202,1175000,5,4,SELLWOOD,4272,4791,2006,127,275,0,45.4676223,-122.6507302
June-26-2020,3567 E Burnside St,97214,885000,5,3.5,LAURELHURST,4285,7405,1910,55,207,0,45.5233102,-122.6260908
May-15-2020,2866 NW Ariel Ter,97210,1145000,4,3,KING,4286,12632,1931,97,267,0,45.5281889,-122.7116487
March-31-2020,3310 SE Oak St,97214,1008000,4,3,LAURELHURST,4306,12632,1926,142,234,0,45.5200362,-122.6305437
May-11-2020,6428 SE Reed College Pl,97202,1193140,4,2.5,PORTLAND SOUTHEAST,4317,10018,1926,101,276,0,45.4759612,-122.6289179
July-30-2020,5026 NE 29th Ave,97211,905000,5,4,ALBERTA,4335,4791,1911,21,209,0,45.5594751,-122.6356114
August-10-2020,109 SE 41st Ave,97214,820000,4,2.5,LAURELHURST,4354,6969,1917,10,188,0,45.5222431,-122.6202778
February-25-2020,2798 SW Talbot Rd,97201,1040000,4,3.5,PORTLAND HEIGHTS,4378,8276,1928,177,238,0,45.5009921,-122.7068717
April-16-2020,3510 SW Sherwood Pl,97239,1350000,4,3.5,WEST HILLS,4383,44866,1962,126,308,0,45.4976343,-122.6985161
July-22-2020,3103 NE 15th Ave,97212,1300000,4,3.5,IRVINGTON,4389,7840,1915,29,296,0,45.545383,-122.65073
